STT,Câu h?i,?áp án : A,?áp án : B,?áp án : C,?áp án : D,?áp án ?úng,Link hình
1,,,,,,c,img/1.png
2,,,,,,a,img/2.png
3,,,,,,b,img/3.png
4,,,,,,b,img/4.png
5,,,,,,d,img/5.png
6,,,,,,c,img/6.png
7,,,,,,a,img/7.png
8,,,,,,b,img/8.png
9,,,,,,d,img/9.png
10,,,,,,b,img/10.png
11,,,,,,c,
12,,,,,,a,
13,,,,,,c,
14,,,,,,b,
15,,,,,,b,
16,,,,,,c,
17,,,,,,c,
18,,,,,,b,
19,,,,,,c,
20,,,,,,b,
21,,,,,,c,
22,,,,,,c,
23,,,,,,c,
24,,,,,,b,
25,,,,,,a,
26,,,,,,a,
27,,,,,,b,
28,,,,,,b,
29,,,,,,c,
30,,,,,,c,
31,,,,,,a,
32,,,,,,b,
33,,,,,,c,
34,,,,,,b,
35,,,,,,c,
36,,,,,,a,
37,,,,,,b,
38,,,,,,b,
39,,,,,,c,
40,,,,,,a,
41,What service is the woman asking about?,Room cleaning,Laundry service,Express check-in,Conference room rental,b,
42,When most likely will the woman give a speech?,On Sunday,On Monday,On Tuesday,On Webnesday,c,
43,What will the man probably do next?,Process the woman's payment,Help the woman with her luggage,Take the woman's jacket,Give the woman a bag,d,
44,Why does the woman say the meeting should be postponed?,Some important data is missing,Some employees will be absent,The computer systems has a problem,An excutive is scheduled to visit the office,b,
45,When will the meeting most likely be held?,Thursday morning,Thursday afternoon ,Friday morning,Friday afternoon,c,
46,What will the man probably do next?,Visit a computer facility,Take a lunch break,Reserve a meeting room,Write an e-mail message,b,
47,Why is the man traveling to India?,To study at a university,To sell his company's products,To attend a conference,To look for an apartment,b,
48,What does the man say about the bag?,It is lightweight,It is fashionable,It is too expensive,It is too small,d,
49,What does the woman offer to do?,Show the man a different part of the shop,Look for other products on a computer,Give the man a discount,Repair an item for the man,b,
50,Why most likely is the woman calling?, an appointment's meeting  place,To remind the man of his appointment,To offer the man an appointment,To reschedule the man's appointment,c,
51,At what time Friday will the man most likely visit the Stone Complex?,5:00 PM,5:30 PM,6:00 PM,6:30 PM,b,
52,What does the woman ask the man to do?,Bring photo identification,Park in an indoor garage,Use public transportation,Phone her office shortly before arriving,a,
53,Why is the woman concerned?,She missed a deadline,She is giving a presentation,She is staring a new job,She left her home late,c,
54,What is causing the problem?,Bad weather conditions,A lots passenger,Railway construction work,Electricity problems in the city,a,
55,Where does the man most likely work?,At a bank,At a real estate office,At a publishing firm,At an electricity company,b,
56,What department does the man most likely work in?,Sales ,Accounting,Human Resources,Operations,b,
57,When will the man probably go to Max’s Supply?,On Monday ,On Tuesday,On Wednesday,On Friday,d,
58,What will the woman probably do next?,Phone a delivery person,Give the man a catalogue,Go to a supply room,Make a list,d,
59,What is the main purpose of the woman’s call?,To arrange a demonstration of a product,To explain how to use a product,To check on a customer's satisfaction with a product,To explain the procedure for returning a product,c,
60,"According to the conversation, what is special about the DTC-10?",Its low price,Its techno;ogy,Its compact size,Its speed of operation,d,
61,What does the man say will happen next month?,He will have a production deadline.,He will buy another Ten-Tech product.,Clothing will be sent to stores., A new factory will open.,c,
62,What does the man indicate about the restaurant?,It has a lunch buffet.,It is near the speakers’ workplace.,It offers delivery service.,It has inexpensive menu items.,d,
63,What does the man offer to do?,Pay for the woman’s meal,Postpone a meeting,Help the woman prepare a report,Design a brochure for the woman,c,
64,What does the woman’s colleague say about the restaurant?, It is expensive.,It is small., The service is slow.,It has outdoor seating.,b,
65,Who most likely is the man?,A factory worker,A festival organizer,A driving instructor,A news reporter,d,
66,What kind of company does the woman probably work for?,A video game design firm,An event planning company,A vehicle manufacturer,An advertising agency,c,
67,When will the Vista be released on the market?,In January,In February,In March,In April,c,
68,Why is the woman calling the man?,To answer his questions about a neighborhood,To give details about a vacant apartment,To find out his preferences in apartments,To postpone a meeting with him,b,
69,What does the man say is important to him?,Living near public transportation,The apartment’s rental price,The size of the apartment,Living in the downtown area,b,
70,What most likely will happen in the afternoon?,The woman will meet the man at her office.,The man will view an apartment.,The woman will send the man a list.,The man will sign a rental contract.,c,
71,Why have the airline’s jets changed appearance?,It purchased new planes,It changed its slogan.,It is celebrating an anniversary.,It merged with another airline.,d,
72,What will the airline do next month?,Begin an online reservations system,Expand its hours of its operation,Change its name to Globe Airways,Open new ticket counters at airports,b,
73,Who will receive a discount with the airline this month?,New customers,Frequent fliers,First-class travelers,Holders of travel discount cards,a,
74,When will the office open again?,On Thursday,On Friday,On Monday,On Tuesday,d,
75,"According to the recording, what does STS provide?",A list of local hotels,Tour guides for groups,Updates on ski conditions,Information for volunteers,a,
76,What should a caller do to speak to a representative?,Record a message,Dial a different extension,Press number one,Stay on the line,b,
77,What is the audience encouraged to do?,Take photos of the performers,Make recordings of the performance,Applaud while standing,Sing during part of the show,d,
78,What is available in the lobby?,T-shirts,Photos,Music recordings,Video games,b,
79,What most likely will happen next?,The musical performance will start.,Some of the audience will be served a beverage.,Tickets for upgraded seats will go on sale,The audience will visit the lobby area.,b,
80,What happened yesterday?,A sports contest was postponed.,Some local stores were closed.,A flower show took place.,Local schools canceled classes.,a,
81,What does the speaker recommend that the audience do?,Drive more slowly,Avoid outdoor exercise,Turn down their home heating,Visit a nature area,d,
82,What most likely will be heard next?,Sports news,Commercials,Medical news,Traffic updates,b,
83,What is the purpose of the speech?,To discuss the health benefits of an ,To review employee attendance policies,To explain a promotional event,To welcome new staff,c,
84,How long has the speaker worked with the company?,For 3 years,For 5 years,For 10 years,For 20 years,c,
85,What most likely will the speaker do next?,Show a video,Distribute brochures,Demonstrate an exercise,Meet with a customer,b,
86,Where most likely is this announcement being given?,In a tour bus,At a cooking school,At a restaurant,In a museum,c,
87,What is indicated about Longman Folk Village?,It is closed for renovations.,It is part of a history museum.,It includes a farm.,It does not allow photography.,c,
88,What does the speaker recommend that the audience do?,Sit on the right side of the tour bus,Carry snacks in their backpacks,Unpack their umbrellas,Put away their cameras,c,
89,What department does the speaker most likely work in?,Training,Market research,Human resources,Customer service,c,
90,What is the audience instructed to do?,Register for training,Go to a computer room,Complete some paperwork,Collect identification tags,b,
91,What most likely will happen in 10 minutes?,A meal break will begin.,Procedures will be explained.,A workshop will conclude.,Job interviews will take place.,b,
92,Where most likely is the announcement being given?,At a software company’s office,At a camera store,At a convention center,At a public park,a,
93,Who most likely is Rachel Kim?,A magazine writer,A software developer,A store owner,A nature photographer,d,
94,What are the listeners asked to do?,Visit a Web site,Attend a training seminar,Test a software program,Finish work early for the day,a,
95,Where most likely does the speaker work?,At a factory,At a restaurant,At a delivery company,At a lighting supply store,d,
96,What problem has occurred?,Some items were out of stock.,The wrong items were delivered.,Some items were damaged in shipping.,An item was sent to the wrong address.,c,
97,What does the speaker ask Ms. Farley to do?,Place a new order,Confirm a date,Visit a warehouse,Pay a delivery fee,b,
98,Who is John Mason?,An auto buyer,An auto designer,An auto company president,An auto industry analyst,b,
99,"According to the broadcast, who is the Delta aimed at?",People who are beginning drivers,People with large families,People wanting a small car,People who drive sports cars,b,
